,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,has_basement,new_house,week,month,year,season,status,Sell Price,Profit
0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,0,1955,0,98178,47.5112,-122.257,0,0,42,10,2014,fall,Buy,244090.00000000003,22190.00000000003
1,6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,400,1951,1991,98125,47.721,-122.319,1,1,50,12,2014,winter,Not Buy,0.0,0.0
2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,0,1933,0,98028,47.7379,-122.233,0,1,9,2,2015,winter,Buy,234000.0,54000.0
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,910,1965,0,98136,47.5208,-122.393,1,0,50,12,2014,winter,Not Buy,0.0,0.0
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,0,1987,0,98074,47.6168,-122.045,0,0,8,2,2015,winter,Buy,561000.0,51000.0
5,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,0,1995,0,98003,47.3097,-122.327,0,0,26,6,2014,summer,Buy,283250.0,25750.0
6,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,0,1963,0,98198,47.4095,-122.315,0,0,3,1,2015,winter,Not Buy,0.0,0.0
7,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,730,1960,0,98146,47.5123,-122.337,1,0,16,4,2015,spring,Buy,298350.0,68850.0
8,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,0,2003,0,98038,47.3684,-122.031,0,0,11,3,2015,spring,Buy,355300.0,32300.0
9,1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1700,1965,0,98007,47.6007,-122.145,1,0,14,4,2015,spring,Not Buy,0.0,0.0
10,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,300,1942,0,98115,47.69,-122.292,1,1,22,5,2014,spring,Not Buy,0.0,0.0
11,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,0,1927,0,98028,47.7558,-122.229,0,1,22,5,2014,spring,Not Buy,0.0,0.0
12,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,0,1977,0,98074,47.6127,-122.045,0,0,41,10,2014,fall,Not Buy,0.0,0.0
13,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,0,1900,0,98107,47.67,-122.394,0,1,11,3,2015,spring,Not Buy,0.0,0.0
14,9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,970,1979,0,98126,47.5714,-122.375,1,0,4,1,2015,winter,Not Buy,0.0,0.0
15,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,0,1994,0,98019,47.7277,-121.962,0,0,31,7,2014,summer,Buy,434500.00000000006,39500.00000000006
16,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,0,1916,0,98103,47.6648,-122.343,0,1,22,5,2014,spring,Not Buy,0.0,0.0
17,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,0,1921,0,98002,47.3089,-122.21,0,1,49,12,2014,winter,Not Buy,0.0,0.0
18,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,0,1969,0,98003,47.3343,-122.306,0,0,17,4,2015,spring,Not Buy,0.0,0.0
19,6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,760,1947,0,98133,47.7025,-122.341,1,1,20,5,2014,spring,Not Buy,0.0,0.0
20,7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,0,1995,0,98092,47.3266,-122.169,0,0,27,7,2014,summer,Buy,313500.0,28500.0
21,8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,0,1985,0,98030,47.3533,-122.166,0,0,20,5,2014,spring,Buy,277970.0,25270.0
22,3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,0,1985,0,98030,47.3739,-122.172,0,0,47,11,2014,fall,Not Buy,0.0,0.0
23,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,0,1941,0,98002,47.3048,-122.218,0,1,45,11,2014,fall,Not Buy,0.0,0.0
24,1794500383,2014-06-26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,700,1915,0,98119,47.6386,-122.36,1,1,26,6,2014,summer,Not Buy,0.0,0.0
25,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,0,1909,0,98112,47.6221,-122.314,0,1,49,12,2014,winter,Not Buy,0.0,0.0
26,5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,730,1948,0,98115,47.695,-122.304,1,1,26,6,2014,summer,Buy,569400.0,131400.0
27,1873100390,2015-03-02,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,0,2005,0,98052,47.7073,-122.11,0,0,10,3,2015,spring,Not Buy,0.0,0.0
28,8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,0,2003,0,98027,47.5391,-122.07,0,0,46,11,2014,fall,Not Buy,0.0,0.0
29,2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,0,2005,0,98133,47.7274,-122.357,0,0,49,12,2014,winter,Buy,364000.0,84000.0
30,461000390,2014-06-24,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,820,1929,0,98117,47.6823,-122.368,1,1,26,6,2014,summer,Not Buy,0.0,0.0
31,7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,0,1929,0,98117,47.6889,-122.375,0,1,46,11,2014,fall,Not Buy,0.0,0.0
32,7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,780,1981,0,98058,47.4276,-122.157,1,0,49,12,2014,winter,Buy,354750.0,32250.0
33,9547205180,2014-06-13,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,790,1930,2002,98115,47.6827,-122.31,1,1,24,6,2014,summer,Not Buy,0.0,0.0
34,2768000400,2014-12-30,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,0,1904,0,98107,47.6702,-122.362,0,1,1,12,2014,winter,Not Buy,0.0,0.0
35,7895500070,2015-02-13,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,330,1969,0,98001,47.3341,-122.282,1,0,7,2,2015,winter,Not Buy,0.0,0.0
36,2078500320,2014-06-20,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,0,1996,0,98056,47.5301,-122.18,0,0,25,6,2014,summer,Not Buy,0.0,0.0
37,5547700270,2014-07-15,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,0,2000,0,98074,47.6145,-122.027,0,0,29,7,2014,summer,Not Buy,0.0,0.0
38,7203220400,2014-07-07,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,0,2014,0,98053,47.6848,-122.016,0,0,28,7,2014,summer,Not Buy,0.0,0.0
39,9270200160,2014-10-28,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,0,1922,0,98119,47.6413,-122.364,0,1,44,10,2014,fall,Not Buy,0.0,0.0
40,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,360,1959,0,98058,47.4485,-122.175,1,0,31,7,2014,summer,Not Buy,0.0,0.0
41,8035350320,2014-07-18,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,0,2003,0,98019,47.7443,-121.977,0,0,29,7,2014,summer,Not Buy,0.0,0.0
42,8945200830,2015-03-25,210490.0,3,1.0,990,8528,1.0,0,0,3,6,0,1966,0,98023,47.3066,-122.371,0,0,13,3,2015,spring,Buy,273637.0,63147.0
43,4178300310,2014-07-16,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,0,1981,0,98007,47.6194,-122.151,0,0,29,7,2014,summer,Not Buy,0.0,0.0
44,9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,0,1953,0,98115,47.6796,-122.301,0,1,18,4,2015,spring,Not Buy,0.0,0.0
45,5245600105,2014-09-16,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,0,1955,0,98148,47.4258,-122.322,0,0,38,9,2014,fall,Buy,250800.00000000003,22800.00000000003
46,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1510,1966,0,98056,47.4934,-122.189,1,0,8,2,2015,winter,Not Buy,0.0,0.0
47,7518505990,2014-12-31,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,410,1950,0,98117,47.6808,-122.384,1,1,1,12,2014,winter,Not Buy,0.0,0.0
48,3626039271,2015-02-05,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,1981,0,98117,47.6989,-122.369,1,0,6,2,2015,winter,Not Buy,0.0,0.0
49,4217401195,2015-03-03,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,600,1927,0,98105,47.6571,-122.281,1,1,10,3,2015,spring,Not Buy,0.0,0.0
50,9822700295,2014-05-12,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,0,1995,0,98105,47.6597,-122.29,0,0,20,5,2014,spring,Not Buy,0.0,0.0
51,9478500640,2014-08-19,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,0,2008,0,98042,47.3663,-122.114,0,0,34,8,2014,summer,Not Buy,0.0,0.0
52,2799800710,2015-04-07,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,0,2003,0,98042,47.3663,-122.122,0,0,15,4,2015,spring,Not Buy,0.0,0.0
53,7922800400,2014-08-27,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,0,1968,0,98008,47.588,-122.116,0,0,35,8,2014,summer,Not Buy,0.0,0.0
54,8079040320,2015-02-23,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,0,1991,0,98059,47.5059,-122.149,0,0,9,2,2015,winter,Not Buy,0.0,0.0
55,9558200045,2014-08-28,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,0,1954,0,98148,47.4366,-122.335,0,1,35,8,2014,summer,Not Buy,0.0,0.0
56,5072410070,2014-10-21,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,0,1973,0,98166,47.4428,-122.344,0,0,43,10,2014,fall,Not Buy,0.0,0.0
57,9528102996,2014-12-07,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,0,2014,0,98115,47.6765,-122.32,0,0,49,12,2014,winter,Buy,603900.0,54900.0
58,1189001180,2014-06-03,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,550,1979,0,98122,47.6113,-122.297,1,0,23,6,2014,summer,Buy,552500.0,127500.0
59,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1000,1925,0,98144,47.5747,-122.304,1,1,47,11,2014,fall,Not Buy,0.0,0.0
60,3394100030,2014-09-09,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,0,1989,0,98004,47.5815,-122.192,0,0,37,9,2014,fall,Not Buy,0.0,0.0
61,3717000160,2014-10-09,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,0,2005,0,98001,47.3378,-122.257,0,0,41,10,2014,fall,Not Buy,0.0,0.0
62,1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,0,1968,0,98042,47.3621,-122.11,0,0,35,8,2014,summer,Not Buy,0.0,0.0
63,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,0,1972,0,98034,47.7362,-122.179,0,0,2,1,2015,winter,Not Buy,0.0,0.0
64,8820901275,2014-06-10,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,500,1916,0,98125,47.7168,-122.287,1,1,24,6,2014,summer,Not Buy,0.0,0.0
65,5416510140,2014-07-10,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,0,2005,0,98038,47.3608,-122.036,0,0,28,7,2014,summer,Not Buy,0.0,0.0
66,4036801170,2014-10-13,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,1956,0,98008,47.6034,-122.125,1,0,42,10,2014,fall,Buy,494000.0,114000.0
67,2391600320,2015-04-20,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,0,1941,0,98116,47.5636,-122.394,0,1,17,4,2015,spring,Buy,624000.0,144000.0
68,6300000287,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,500,1956,0,98133,47.7073,-122.34,1,0,24,6,2014,summer,Not Buy,0.0,0.0
69,5104520400,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,0,2003,0,98038,47.3512,-122.008,0,0,49,12,2014,winter,Not Buy,0.0,0.0
70,7437100340,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,0,1992,0,98038,47.349,-122.031,0,0,52,12,2014,winter,Not Buy,0.0,0.0
71,9418400240,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1948,0,98118,47.5474,-122.291,1,1,44,10,2014,fall,Buy,390500.00000000006,35500.00000000006
72,1523059105,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,0,1964,0,98059,47.4811,-122.149,0,0,5,1,2015,winter,Buy,391600.00000000006,35600.00000000006
73,1133000671,2014-06-02,315000.0,3,1.0,960,6634,1.0,0,0,3,6,0,1952,0,98125,47.7264,-122.31,0,1,23,6,2014,summer,Buy,409500.0,94500.0
74,4232902595,2014-11-14,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,240,1925,0,98119,47.6337,-122.365,1,1,46,11,2014,fall,Not Buy,0.0,0.0
75,2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,0,1961,0,98092,47.2909,-122.189,0,0,45,11,2014,fall,Not Buy,0.0,0.0
76,3342103156,2014-06-18,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,790,2006,0,98056,47.5228,-122.199,1,0,25,6,2014,summer,Not Buy,0.0,0.0
77,1332700270,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,0,1979,0,98056,47.518,-122.194,0,0,21,5,2014,spring,Not Buy,0.0,0.0
78,3869900162,2014-09-04,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,265,2006,0,98136,47.5394,-122.387,1,0,36,9,2014,fall,Buy,435500.0,100500.0
79,2791500270,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,0,1988,0,98023,47.2897,-122.372,0,0,21,5,2014,spring,Buy,267850.0,24350.0
80,5036300431,2015-03-11,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,0,2001,0,98199,47.6506,-122.391,0,0,11,3,2015,spring,Not Buy,0.0,0.0
81,4168000060,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,0,1962,0,98023,47.322,-122.351,0,0,9,2,2015,winter,Buy,198900.0,45900.0
